28,ultimus,Ultimus Elite NU14U3INF56BN-CS Laptop (10th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),239.88,intel,core i5,8,SSD,512,intel,integrated,FALSE,14.1,windows
30,hp,HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),863.988,intel,core i5,16,SSD,512,intel,integrated,FALSE,15.6,windows
31,msi,MSI GF63 Thin 11UC-1294IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph),801.36,intel,core i7,16,HDD,1024,nvidia,dedicated,FALSE,15.6,windows
32,samsung,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),539.88,intel,core i5,8,SSD,512,intel,integrated,FALSE,15.6,windows
33,samsung,Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),575.88,intel,core i5,16,SSD,512,intel,integrated,FALSE,15.6,windows
34,lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),575.88,intel,core i5,8,SSD,512,nvidia,dedicated,FALSE,15.6,windows
35,asus,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),563.88,amd,ryzen 5,8,SSD,512,amd,integrated,FALSE,16,windows
36,apple,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),1235.88,apple,m2,8,SSD,256,apple,apple,FALSE,13.6,mac
37,dell,Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),818.868,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
38,acer,Acer Aspire Lite AL15-52 15 Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),563.88,intel,core i5,16,SSD,1024,intel,integrated,FALSE,15.6,windows
39,acer,Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),419.88,intel,core i3,16,SSD,512,intel,integrated,FALSE,15.6,windows
40,hp,HP 15s-fr5011TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),647.88,intel,core i5,16,SSD,512,intel,integrated,FALSE,15.6,windows
41,asus,Asus Vivobook 16X 2023 K3605ZF-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),767.88,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,16,windows
42,asus,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),1362.852,amd,ryzen 9,16,SSD,512,nvidia,dedicated,TRUE,13.4,windows
43,hp,HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),1065.6,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
45,hp,HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),642.84,amd,ryzen 5,16,SSD,512,amd,dedicated,FALSE,15.6,windows
46,hp,HP Omen 16-xf0060AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),1403.88,amd,ryzen 7,16,SSD,1024,nvidia,dedicated,FALSE,16,windows
47,hp,HP Victus 15-fa0555TX  Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),849.72,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
